ID,TIME,AMT,ADDL,II,DV,MDV,CMT,DOSE,IVPO,SEX,GROUP,FOOD,DAY,TAD,STUDY,ORIID
17,4,NA,NA,NA,58.79,0,2,10,2,1,"G6",2,1,4,"
OCT-598",M17
17,8,NA,NA,NA,24.03,0,2,10,2,1,"G6",2,1,8,"
OCT-598",M17
17,12,NA,NA,NA,5.05,0,2,10,2,1,"G6",2,1,12,"
OCT-598",M17
17,24,NA,NA,NA,0.14,0,2,10,2,1,"G6",2,1,24,"
OCT-598",M17
18,0,NA,NA,NA,11964.09,0,2,10,2,1,"G6",2,1,0,"
OCT-598",M18
18,0,10,NA,NA,NA,1,1,10,2,1,"G6",2,1,0,"
OCT-598",M18
18,0.5,NA,NA,NA,11964.09,0,2,10,2,1,"G6",2,1,0.5,"
OCT-598",M18
18,1,NA,NA,NA,3639.84,0,2,10,2,1,"G6",2,1,1,"
OCT-598",M18
18,2,NA,NA,NA,201.2,0,2,10,2,1,"G6",2,1,2,"
OCT-598",M18
18,4,NA,NA,NA,114.56,0,2,10,2,1,"G6",2,1,4,"
OCT-598",M18
18,8,NA,NA,NA,56.16,0,2,10,2,1,"G6",2,1,8,"
OCT-598",M18
18,12,NA,NA,NA,14.8,0,2,10,2,1,"G6",2,1,12,"
OCT-598",M18
18,24,NA,NA,NA,1.24,0,2,10,2,1,"G6",2,1,24,"
OCT-598",M18
