"ID","TIME","AMT","ADDL","II","DV","MDV","CMT","DOSE","IVPO","SEX","GROUP","DAY","TAD","FOOD","STUDY","ORIID"
17,0.5,,,,"5740.95",0,2,10,2,1,6,1,0.5,2,1,"M17"
17,1,,,,"802.02",0,2,10,2,1,6,1,1,2,1,"M17"
17,2,,,,"75.68",0,2,10,2,1,6,1,2,2,1,"M17"
17,4,,,,"58.79",0,2,10,2,1,6,1,4,2,1,"M17"
17,8,,,,"24.03",0,2,10,2,1,6,1,8,2,1,"M17"
17,12,,,,"5.05",0,2,10,2,1,6,1,12,2,1,"M17"
17,24,,,,"0.14",0,2,10,2,1,6,1,24,2,1,"M17"
18,0,10,,,".",1,1,10,2,1,6,1,0,2,1,"M18"
18,0,,,,"0",0,2,10,2,1,6,1,0,2,1,"M18"
18,0.5,,,,"11964.09",0,2,10,2,1,6,1,0.5,2,1,"M18"
18,1,,,,"3639.84",0,2,10,2,1,6,1,1,2,1,"M18"
18,2,,,,"201.2",0,2,10,2,1,6,1,2,2,1,"M18"
18,4,,,,"114.56",0,2,10,2,1,6,1,4,2,1,"M18"
18,8,,,,"56.16",0,2,10,2,1,6,1,8,2,1,"M18"
18,12,,,,"14.8",0,2,10,2,1,6,1,12,2,1,"M18"
18,24,,,,"1.24",0,2,10,2,1,6,1,24,2,1,"M18"
2001,0,50,27,24,".",1,1,50,2,1,1,1,0,2,2,"2001"
2001,0,,,,"0",0,2,50,2,1,1,1,0,2,2,"2001"
2001,0.5,,,,"8790",0,2,50,2,1,1,1,0.5,2,2,"2001"
2001,1,,,,"5920",0,2,50,2,1,1,1,1,2,2,"2001"
2001,2,,,,"2520",0,2,50,2,1,1,1,2,2,2,"2001"
2001,4,,,,"2100",0,2,50,2,1,1,1,4,2,2,"2001"
2001,8,,,,"286",0,2,50,2,1,1,1,8,2,2,"2001"
2001,24,,,,"16.5",0,2,50,2,1,1,1,24,2,2,"2001"
2001,648,,,,"181",0,2,50,2,1,1,28,0,2,2,"2001"
2001,648.5,,,,"15500",0,2,50,2,1,1,28,0.5,2,2,"2001"
2001,649,,,,"16900",0,2,50,2,1,1,28,1,2,2,"2001"
2001,650,,,,"7840",0,2,50,2,1,1,28,2,2,2,"2001"
2001,652,,,,"3150",0,2,50,2,1,1,28,4,2,2,"2001"
2001,656,,,,"3160",0,2,50,2,1,1,28,8,2,2,"2001"
2001,672,,,,"48",0,2,50,2,1,1,28,24,2,2,"2001"
2002,0,50,27,24,".",1,1,50,2,1,1,1,0,2,2,"2002"
2002,0,,,,"0",0,2,50,2,1,1,1,0,2,2,"2002"
2002,0.5,,,,"4680",0,2,50,2,1,1,1,0.5,2,2,"2002"
2002,1,,,,"3170",0,2,50,2,1,1,1,1,2,2,"2002"
2002,2,,,,"3420",0,2,50,2,1,1,1,2,2,2,"2002"
2002,4,,,,"4440",0,2,50,2,1,1,1,4,2,2,"2002"
2002,8,,,,"472",0,2,50,2,1,1,1,8,2,2,"2002"
2002,24,,,,".",1,2,50,2,1,1,1,24,2,2,"2002"
2002,648,,,,"28.1",0,2,50,2,1,1,28,0,2,2,"2002"
2002,648.5,,,,"16300",0,2,50,2,1,1,28,0.5,2,2,"2002"
2002,649,,,,"16600",0,2,50,2,1,1,28,1,2,2,"2002"
2002,650,,,,"9570",0,2,50,2,1,1,28,2,2,2,"2002"
2002,652,,,,"14200",0,2,50,2,1,1,28,4,2,2,"2002"
2002,656,,,,"9350",0,2,50,2,1,1,28,8,2,2,"2002"
2002,672,,,,"51.6",0,2,50,2,1,1,28,24,2,2,"2002"
2003,0,50,27,24,".",1,1,50,2,1,1,1,0,2,2,"2003"
2003,0,,,,"0",0,2,50,2,1,1,1,0,2,2,"2003"
2003,0.5,,,,"14200",0,2,50,2,1,1,1,0.5,2,2,"2003"
2003,1,,,,"19100",0,2,50,2,1,1,1,1,2,2,"2003"
2003,2,,,,"7880",0,2,50,2,1,1,1,2,2,2,"2003"
2003,4,,,,"4880",0,2,50,2,1,1,1,4,2,2,"2003"
2003,8,,,,"826",0,2,50,2,1,1,1,8,2,2,"2003"
2003,24,,,,".",1,2,50,2,1,1,1,24,2,2,"2003"
2003,648,,,,"29",0,2,50,2,1,1,28,0,2,2,"2003"
2003,648.5,,,,"22400",0,2,50,2,1,1,28,0.5,2,2,"2003"
2003,649,,,,"29700",0,2,50,2,1,1,28,1,2,2,"2003"
2003,650,,,,"17000",0,2,50,2,1,1,28,2,2,2,"2003"
2003,652,,,,"8660",0,2,50,2,1,1,28,4,2,2,"2003"
2003,656,,,,"2910",0,2,50,2,1,1,28,8,2,2,"2003"
2003,672,,,,"31",0,2,50,2,1,1,28,24,2,2,"2003"
2501,0,50,27,24,".",1,1,50,2,0,1,1,0,2,2,"2501"
2501,0,,,,"0",0,2,50,2,0,1,1,0,2,2,"2501"
2501,0.5,,,,"2070",0,2,50,2,0,1,1,0.5,2,2,"2501"
2501,1,,,,"3720",0,2,50,2,0,1,1,1,2,2,"2501"
2501,2,,,,"2530",0,2,50,2,0,1,1,2,2,2,"2501"
2501,4,,,,"1250",0,2,50,2,0,1,1,4,2,2,"2501"
2501,8,,,,"149",0,2,50,2,0,1,1,8,2,2,"2501"
2501,24,,,,".",1,2,50,2,0,1,1,24,2,2,"2501"
2501,648,,,,"0",0,2,50,2,0,1,28,0,2,2,"2501"
2501,648.5,,,,"8270",0,2,50,2,0,1,28,0.5,2,2,"2501"
2501,649,,,,"5310",0,2,50,2,0,1,28,1,2,2,"2501"
2501,650,,,,"4460",0,2,50,2,0,1,28,2,2,2,"2501"
2501,652,,,,"2120",0,2,50,2,0,1,28,4,2,2,"2501"
2501,656,,,,"559",0,2,50,2,0,1,28,8,2,2,"2501"
2501,672,,,,".",1,2,50,2,0,1,28,24,2,2,"2501"
2502,0,50,27,24,".",1,1,50,2,0,1,1,0,2,2,"2502"
2502,0,,,,"0",0,2,50,2,0,1,1,0,2,2,"2502"
2502,0.5,,,,"4670",0,2,50,2,0,1,1,0.5,2,2,"2502"
2502,1,,,,"10900",0,2,50,2,0,1,1,1,2,2,"2502"
2502,2,,,,"2630",0,2,50,2,0,1,1,2,2,2,"2502"
2502,4,,,,"1250",0,2,50,2,0,1,1,4,2,2,"2502"
2502,8,,,,"322",0,2,50,2,0,1,1,8,2,2,"2502"
2502,24,,,,".",1,2,50,2,0,1,1,24,2,2,"2502"
2502,648,,,,"20.2",0,2,50,2,0,1,28,0,2,2,"2502"
2502,648.5,,,,"13700",0,2,50,2,0,1,28,0.5,2,2,"2502"
2502,649,,,,"9650",0,2,50,2,0,1,28,1,2,2,"2502"
